timestamp,Solar Power
1.0,16.75185096455642
2.0,11.167900643037614
3.0,5.583950321518807
4.0,74.10119160018986
5.0,49.40079440012658
6.0,24.70039720006329
7.0,138.76999438463986
8.0,92.5133295897599
9.0,46.25666479487995
10.0,181.9696835151153
11.0,121.3131223434102
12.0,60.6565611717051
13.0,254.6670200947449
14.0,169.77801339649662
15.0,84.88900669824831
16.0,317.51627292652284
17.0,211.67751528434857
18.0,105.83875764217429
19.0,403.9854900727753
20.0,269.32366004851684
21.0,134.66183002425842
22.0,642.0096238758603
23.0,428.0064159172402
24.0,214.0032079586201
25.0,679.7300987554939
26.0,453.1533991703293
27.0,226.57669958516465
28.0,546.2008248383592
29.0,364.1338832255728
30.0,182.0669416127864
31.0,897.024903643589
32.0,598.0166024290594
33.0,299.0083012145297
34.0,1190.5557265515786
35.0,793.7038177010523
36.0,396.8519088505262
37.0,1115.2250768332394
38.0,743.483384555493
39.0,371.7416922777465
40.0,1534.50490841006
41.0,1023.0032722733732
42.0,511.5016361366866
43.0,1841.3802726438348
44.0,1227.5868484292232
45.0,613.7934242146116
46.0,1875.8505465854016
47.0,1250.5670310569344
48.0,625.2835155284672
49.0,2000.0
50.0,1333.3333333333333
51.0,666.6666666666666
52.0,1776.180667791783
53.0,1184.120445194522
54.0,592.060222597261
55.0,1889.977719540185
56.0,1259.9851463601233
57.0,629.9925731800616
58.0,1885.3499254893343
59.0,1256.8999503262228
60.0,628.4499751631114
61.0,1956.0107175099645
62.0,1304.007145006643
63.0,652.0035725033215
64.0,1842.2299568970318
65.0,1228.1533045980211
66.0,614.0766522990106
67.0,1685.7329042701963
68.0,1123.821936180131
69.0,561.9109680900655
70.0,1702.9015185243143
71.0,1135.2676790162095
72.0,567.6338395081048
73.0,1680.4839046260952
74.0,1120.3226030840635
75.0,560.1613015420318
76.0,1449.5653097162199
77.0,966.3768731441465
78.0,483.1884365720733
79.0,1933.1683283793136
80.0,1288.778885586209
81.0,644.3894427931045
82.0,1265.5917977238098
83.0,843.7278651492065
84.0,421.86393257460327
85.0,1594.4070138183806
86.0,1062.9380092122537
87.0,531.4690046061269
88.0,1461.498010658714
89.0,974.3320071058093
90.0,487.16600355290467
91.0,1329.2956755249204
92.0,886.1971170166136
93.0,443.0985585083068
94.0,1642.02190904124
95.0,1094.68127269416
96.0,547.34063634708
97.0,1635.8573924680252
98.0,1090.5715949786834
